*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),*C:Sport,C:Player/Athlete,C:Manufacturer,C:Season,C:Parallel/Variety,C:Features,C:Set,C:Team,C:League,C:Autographed,C:Card Name,C:Card Number,C:Type,C:Year Manufactured,C:Signed By,C:Autograph Authentication,C:Card Size,C:Country of Origin,C:Material,C:Autograph Format,C:Vintage,C:Event/Tournament,C:Language,C:Original/Licensed Reprint,C:Autograph Authentication Number,C:California Prop 65 Warning,C:Card Thickness,C:Customized,C:Insert Set,C:Print Run,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,ProductCompliancePolicyID,Regional ProductCompliancePolicies,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,DX2-B58-86-c01,261328,,Francisco Lindor 2026 Topps Tribute #86,,,,,4000,,,,400011,Baseball,Francisco Lindor,Topps,2026,,,2026 Topps Tribute,New York Mets,Major League Baseball (MLB),No,Francisco Lindor,86,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-86-c01-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-86-c01-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Francisco Lindor of the New York Mets. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-37-c02,261328,,Nick Kurtz 2026 Topps Tribute #37,,,,,4000,,,,400011,Baseball,Nick Kurtz,Topps,2026,,,2026 Topps Tribute,Athletics,Major League Baseball (MLB),No,Nick Kurtz,37,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-37-c02-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-37-c02-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Nick Kurtz of the Athletics. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,6.16,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-38-c03,261328,,Jakob Marsee 2026 Topps Tribute #38 RC,,,,,4000,,,,400011,Baseball,Jakob Marsee,Topps,2026,,,2026 Topps Tribute,Miami Marlins,Major League Baseball (MLB),No,Jakob Marsee,38,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-38-c03-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-38-c03-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Jakob Marsee of the Miami Marlins. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-96-c04,261328,,Joe DiMaggio 2026 Topps Tribute #96,,,,,4000,,,,400011,Baseball,Joe DiMaggio,Topps,2026,,,2026 Topps Tribute,New York Yankees,Major League Baseball (MLB),No,Joe DiMaggio,96,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-96-c04-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-96-c04-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Joe DiMaggio of the New York Yankees. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-20-c05,261328,,Carson Williams 2026 Topps Tribute #20 RC,,,,,4000,,,,400011,Baseball,Carson Williams,Topps,2026,,,2026 Topps Tribute,Tampa Bay Rays,Major League Baseball (MLB),No,Carson Williams,20,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-20-c05-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-20-c05-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Carson Williams of the Tampa Bay Rays. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,6.29,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-75-c06,261328,,Sammy Sosa 2026 Topps Tribute #75,,,,,4000,,,,400011,Baseball,Sammy Sosa,Topps,2026,,,2026 Topps Tribute,Chicago Cubs,Major League Baseball (MLB),No,Sammy Sosa,75,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-75-c06-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-75-c06-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Sammy Sosa of the Chicago Cubs. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-36-c07,261328,,Ichiro 2026 Topps Tribute #36,,,,,4000,,,,400011,Baseball,Ichiro,Topps,2026,,,2026 Topps Tribute,Miami Marlins,Major League Baseball (MLB),No,Ichiro,36,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-36-c07-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-36-c07-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Ichiro of the Miami Marlins. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-34-c08,261328,,Fernando Tatis Jr. 2026 Topps Tribute #34,,,,,4000,,,,400011,Baseball,Fernando Tatis Jr.,Topps,2026,,,2026 Topps Tribute,San Diego Padres,Major League Baseball (MLB),No,Fernando Tatis Jr.,34,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-34-c08-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-34-c08-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Fernando Tatis Jr. of the San Diego Padres. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-50-c09,261328,,Tarik Skubal 2026 Topps Tribute #50,,,,,4000,,,,400011,Baseball,Tarik Skubal,Topps,2026,,,2026 Topps Tribute,Detroit Tigers,Major League Baseball (MLB),No,Tarik Skubal,50,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-50-c09-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-50-c09-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Tarik Skubal of the Detroit Tigers. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.24,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,DX2-B58-49-c10,261328,,Tris Speaker 2026 Topps Tribute #49,,,,,4000,,,,400011,Baseball,Tris Speaker,Topps,2026,,,2026 Topps Tribute,Boston Red Sox,Major League Baseball (MLB),No,Tris Speaker,49,Sports Trading Card,2026,,,Standard,,Card Stock,,No,,English,Original,,,,,,,https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-49-c10-front.jpg|https://raw.githubusercontent.com/twwhita-tech/dx2-img-a4f19c7e/main/b58/DX2-B58-49-c10-back.jpg,,,"<p>The product is a 2026 Topps Tribute baseball trading card featuring Tris Speaker of the Boston Red Sox. This is a base card. With English language text and manufactured by Topps, this collectible piece is a must-have for fans and collectors alike.</p><p>Condition: Please review all scans and photos carefully before purchasing. We are not professional graders and encourage you to ask any questions prior to bidding. All sales are final.</p><p>Shipping: Cards under $20 that can be done so safely will be shipped via Ebay Standard Envelope. This service has longer delivery times (up to 3 weeks in some cases) and very limited tracking. Cards over $20 or cards that cannot be safely shipped via  ESE (Including, but not limited to: relic cards, lots, and other thick cards) will be sent in a bubble mailer or box for $6.50 (with new USPS fuel surcharge) with tracking included. Signature confirmation may be required on cards over $100 at our expense.</p><p>If you have any questions about shipping options, reach out before auction close or within 24 hours of your order and we&#x27;ll be happy to accommodate.</p><p>Payment: Payment is due within 4 days of auction close. Unpaid orders will be canceled and relisted.</p>",FixedPrice,GTC,5.00,,0,,,1,,"St. George, Utah",,,,,,1,,,ReturnsNotAccepted,,,,,Surcharge Over $20,Return Policy,eBay Managed Payments (250140748026),,,,,,,,,,,,,,,,,,,,,,,,,,,
